Datum/tijd (MET);Astronomisch;Gemeten waterstand;Verwachte opzet;Verwachting RWS
2018-01-13 12:00;90;83;-7;83
2018-01-13 12:10;94;87;-9;85
2018-01-13 12:20;97;87;-12;85
2018-01-13 12:30;99;87;-15;84
2018-01-13 12:40;100;85;-18;82
2018-01-13 12:50;99;84;-19;80
2018-01-13 13:00;97;81;-18;79
2018-01-13 13:10;95;78;-18;77
2018-01-13 13:20;92;75;-17;75
2018-01-13 13:30;89;72;-15;74
2018-01-13 13:40;86;68;-15;71
2018-01-13 13:50;82;64;-14;68
2018-01-13 14:00;78;59;-14;64
2018-01-13 14:10;74;55;-14;60
2018-01-13 14:20;70;50;-14;56
2018-01-13 14:30;64;45;-12;52
2018-01-13 14:40;58;40;-12;46
2018-01-13 14:50;52;35;-11;41
2018-01-13 15:00;44;30;-9;35
2018-01-13 15:10;37;24;-9;28
2018-01-13 15:20;29;18;-7;22
2018-01-13 15:30;22;12;-7;15
2018-01-13 15:40;15;7;-7;8
2018-01-13 15:50;8;0;-8;0
2018-01-13 16:00;1;-7;-8;-7
2018-01-13 16:10;-5;-14;-10;-15
2018-01-13 16:20;-11;-22;-12;-23
2018-01-13 16:30;-17;-27;-13;-30
2018-01-13 16:40;-22;-32;-15;-37
2018-01-13 16:50;-28;-37;-15;-43
2018-01-13 17:00;-33;-41;-11;-44
2018-01-13 17:10;-37;-44;-11;-48
2018-01-13 17:20;-42;-46;-9;-51
2018-01-13 17:30;-45;-48;-8;-53
2018-01-13 17:40;-48;-50;-5;-53
2018-01-13 17:50;-50;-52;-5;-55
2018-01-13 18:00;-51;-54;-4;-55
2018-01-13 18:10;-52;-54;-3;-55
2018-01-13 18:20;-52;-55;-2;-54
2018-01-13 18:30;-52;-56;-3;-55
2018-01-13 18:40;-51;-56;-4;-55
2018-01-13 18:50;-51;-55;-6;-57
2018-01-13 19:00;-51;-56;-7;-58
2018-01-13 19:10;-50;-57;-8;-58
2018-01-13 19:20;-50;-57;-10;-60
2018-01-13 19:30;-50;-60;-12;-62
2018-01-13 19:40;-50;-61;-13;-63
2018-01-13 19:50;-50;-63;-13;-63
2018-01-13 20:00;-49;-64;-15;-64
2018-01-13 20:10;-49;-65;-15;-64
2018-01-13 20:20;-48;-66;-17;-65
2018-01-13 20:30;-48;-66;-17;-65
2018-01-13 20:40;-47;-66;-18;-65
2018-01-13 20:50;-46;-62;-18;-64
2018-01-13 21:00;-45;-61;-19;-64
2018-01-13 21:10;-44;-58;-19;-63
2018-01-13 21:20;-42;-56;-19;-61
2018-01-13 21:30;-40;-52;-18;-58
