Datum/tijd (MET);Astronomisch;Gemeten waterstand;Verwachte opzet;Verwachting RWS
2018-01-12 12:00;91;84;-9;82
2018-01-12 12:10;89;82;-9;80
2018-01-12 12:20;86;80;-8;78
2018-01-12 12:30;82;77;-6;76
2018-01-12 12:40;78;75;-5;73
2018-01-12 12:50;74;70;-3;71
2018-01-12 13:00;69;65;-1;68
2018-01-12 13:10;65;60;-1;64
2018-01-12 13:20;60;56;-1;59
2018-01-12 13:30;55;51;-1;54
2018-01-12 13:40;50;46;-2;48
2018-01-12 13:50;43;40;0;43
2018-01-12 14:00;37;35;-1;36
2018-01-12 14:10;30;28;0;30
2018-01-12 14:20;22;21;0;22
2018-01-12 14:30;14;14;1;15
2018-01-12 14:40;7;5;1;8
2018-01-12 14:50;0;-1;0;0
2018-01-12 15:00;-7;-8;-2;-9
2018-01-12 15:10;-14;-16;-2;-16
2018-01-12 15:20;-20;-24;-4;-24
2018-01-12 15:30;-25;-31;-6;-31
2018-01-12 15:40;-30;-38;-8;-38
2018-01-12 15:50;-34;-43;-10;-44
2018-01-12 16:00;-38;-47;-12;-50
2018-01-12 16:10;-42;-50;-12;-54
2018-01-12 16:20;-46;-53;-13;-59
2018-01-12 16:30;-49;-55;-13;-62
2018-01-12 16:40;-51;-58;-16;-67
2018-01-12 16:50;-53;-59;-16;-69
2018-01-12 17:00;-54;-61;-10;-64
2018-01-12 17:10;-55;-62;-10;-65
2018-01-12 17:20;-55;-63;-10;-65
2018-01-12 17:30;-55;-63;-10;-65
2018-01-12 17:40;-54;-62;-10;-64
2018-01-12 17:50;-53;-61;-9;-62
2018-01-12 18:00;-53;-60;-9;-62
2018-01-12 18:10;-53;-60;-8;-61
2018-01-12 18:20;-52;-58;-9;-61
2018-01-12 18:30;-53;-58;-8;-61
2018-01-12 18:40;-53;-57;-9;-62
2018-01-12 18:50;-53;-58;-10;-63
2018-01-12 19:00;-53;-58;-11;-64
2018-01-12 19:10;-53;-60;-12;-65
2018-01-12 19:20;-52;-61;-14;-66
2018-01-12 19:30;-51;-61;-15;-66
2018-01-12 19:40;-50;-61;-17;-67
2018-01-12 19:50;-48;-62;-18;-66
2018-01-12 20:00;-46;-61;-20;-66
2018-01-12 20:10;-44;-59;-20;-64
2018-01-12 20:20;-41;-57;-21;-62
2018-01-12 20:30;-39;-54;-21;-60
2018-01-12 20:40;-35;-50;-21;-56
2018-01-12 20:50;-32;-47;-21;-53
2018-01-12 21:00;-27;-42;-21;-48
2018-01-12 21:10;-22;-37;-20;-42
2018-01-12 21:20;-15;-31;-21;-36
2018-01-12 21:30;-8;-26;-20;-28
2018-01-12 21:40;0;-18;-20;-20
2018-01-12 21:50;9;-10;-20;-11
2018-01-12 22:00;18;0;-19;-1
2018-01-12 22:10;27;10;-17;10
