Datum/tijd (MET);Astronomisch;Gemeten waterstand;Verwachte opzet;Verwachting RWS
2018-01-23 00:00;-33;-7;33;0
2018-01-23 00:10;-32;-8;29;-3
2018-01-23 00:20;-32;-10;27;-5
2018-01-23 00:30;-33;-12;25;-8
2018-01-23 00:40;-34;-14;22;-12
2018-01-23 00:50;-35;-17;19;-16
2018-01-23 01:00;-37;-17;19;-18
2018-01-23 01:10;-39;-19;19;-20
2018-01-23 01:20;-41;-20;21;-20
2018-01-23 01:30;-42;-20;22;-20
2018-01-23 01:40;-43;-21;23;-20
2018-01-23 01:50;-44;-22;25;-19
2018-01-23 02:00;-45;-21;27;-18
2018-01-23 02:10;-45;-21;27;-18
2018-01-23 02:20;-44;-20;26;-18
2018-01-23 02:30;-43;-20;26;-17
2018-01-23 02:40;-41;-18;24;-17
2018-01-23 02:50;-38;-18;22;-16
2018-01-23 03:00;-35;-17;20;-15
2018-01-23 03:10;-31;-15;16;-15
2018-01-23 03:20;-27;-12;14;-13
2018-01-23 03:30;-22;-10;11;-11
2018-01-23 03:40;-17;-5;10;-7
2018-01-23 03:50;-12;-1;8;-4
2018-01-23 04:00;-6;3;6;0
2018-01-23 04:10;0;8;5;5
2018-01-23 04:20;6;12;4;10
2018-01-23 04:30;14;17;2;16
2018-01-23 04:40;22;24;2;24
2018-01-23 04:50;32;32;1;33
2018-01-23 05:00;42;42;2;44
2018-01-23 05:10;53;54;3;56
2018-01-23 05:20;64;68;6;70
2018-01-23 05:30;75;83;16;91
2018-01-23 05:40;85;96;18;103
2018-01-23 05:50;94;108;19;113
2018-01-23 06:00;101;116;19;120
2018-01-23 06:10;106;124;19;125
2018-01-23 06:20;109;126;17;126
2018-01-23 06:30;110;125;16;126
2018-01-23 06:40;109;124;15;124
2018-01-23 06:50;106;120;15;121
2018-01-23 07:00;103;115;14;117
2018-01-23 07:10;99;110;15;114
2018-01-23 07:20;95;106;18;113
2018-01-23 07:30;91;102;19;110
2018-01-23 07:40;87;97;20;107
2018-01-23 07:50;83;93;20;103
2018-01-23 08:00;78;86;21;99
2018-01-23 08:10;74;81;18;92
2018-01-23 08:20;69;75;16;85
2018-01-23 08:30;63;66;15;78
2018-01-23 08:40;57;58;13;70
2018-01-23 08:50;49;49;12;61
2018-01-23 09:00;42;40;9;51
2018-01-23 09:10;34;32;9;43
2018-01-23 09:20;25;24;7;32
2018-01-23 09:30;16;15;7;23
2018-01-23 09:40;7;5;5;12
2018-01-23 09:50;-3;-5;5;2
2018-01-23 10:00;-12;-13;4;-8
2018-01-23 10:10;-22;-22;4;-18
2018-01-23 10:20;-32;-33;4;-28
2018-01-23 10:30;-41;-43;1;-40
2018-01-23 10:40;-50;-51;2;-48
2018-01-23 10:50;-58;-59;1;-57
2018-01-23 11:00;-65;-66;1;-64
2018-01-23 11:10;-71;-70;0;-71
2018-01-23 11:20;-75;-77;-3;-78
2018-01-23 11:30;-78;-80;-4;-82
2018-01-23 11:40;-80;-84;-6;-86
2018-01-23 11:50;-80;-85;-8;-88
2018-01-23 12:00;-80;-86;-6;-86
2018-01-23 12:10;-79;-88;-9;-88
2018-01-23 12:20;-77;-89;-12;-89
2018-01-23 12:30;-75;-88;-13;-88
2018-01-23 12:40;-73;-85;-12;-85
2018-01-23 12:50;-71;-82;-11;-82
2018-01-23 13:00;-70;-81;-9;-79
2018-01-23 13:10;-69;-80;-11;-80
2018-01-23 13:20;-68;-78;-14;-82
2018-01-23 13:30;-67;-76;-16;-83
2018-01-23 13:40;-67;-77;-15;-82
2018-01-23 13:50;-66;-78;-16;-82
2018-01-23 14:00;-66;-79;-18;-84
2018-01-23 14:10;-66;-81;-19;-85
2018-01-23 14:20;-67;-82;-20;-87
2018-01-23 14:30;-67;-83;-22;-89
2018-01-23 14:40;-66;-84;-23;-89
2018-01-23 14:50;-65;-84;-24;-89
2018-01-23 15:00;-64;-84;-25;-89
2018-01-23 15:10;-62;-84;-28;-90
2018-01-23 15:20;-60;-84;-29;-89
2018-01-23 15:30;-56;-83;-31;-87
2018-01-23 15:40;-52;-81;-32;-84
2018-01-23 15:50;-48;-79;-34;-82
2018-01-23 16:00;-42;-76;-35;-77
2018-01-23 16:10;-36;-70;-35;-71
2018-01-23 16:20;-30;-63;-33;-63
2018-01-23 16:30;-22;-55;-30;-52
2018-01-23 16:40;-13;-41;-29;-42
2018-01-23 16:50;-3;-29;-26;-29
2018-01-23 17:00;9;-14;-21;-12
2018-01-23 17:10;22;4;-17;5
2018-01-23 17:20;36;23;-14;22
2018-01-23 17:30;51;40;-12;39
2018-01-23 17:40;66;59;-11;55
2018-01-23 17:50;80;74;-12;68
2018-01-23 18:00;93;87;-10;83
2018-01-23 18:10;104;96;-15;89
2018-01-23 18:20;113;99;-20;93
2018-01-23 18:30;120;100;-25;95
2018-01-23 18:40;124;100;-30;94
2018-01-23 18:50;125;96;-34;91
2018-01-23 19:00;125;92;-37;88
2018-01-23 19:10;123;85;-38;85
2018-01-23 19:20;120;80;-37;83
2018-01-23 19:30;116;77;-35;81
2018-01-23 19:40;112;74;-32;80
2018-01-23 19:50;107;68;-29;78
2018-01-23 20:00;103;63;-28;75
2018-01-23 20:10;99;60;-27;72
2018-01-23 20:20;94;55;-26;68
2018-01-23 20:30;90;52;-26;64
2018-01-23 20:40;84;48;-26;58
2018-01-23 20:50;79;42;-25;54
2018-01-23 21:00;73;39;-25;48
2018-01-23 21:10;66;34;-22;44
2018-01-23 21:20;60;29;-22;38
2018-01-23 21:30;53;25;-20;33
2018-01-23 21:40;45;20;-18;27
2018-01-23 21:50;38;14;-17;21
2018-01-23 22:00;31;9;-17;14
2018-01-23 22:10;23;4;-16;7
2018-01-23 22:20;15;-4;-15;0
2018-01-23 22:30;7;-10;-14;-7
2018-01-23 22:40;-1;-16;-13;-14
2018-01-23 22:50;-8;-22;-12;-20
2018-01-23 23:00;-15;-26;-10;-25
2018-01-23 23:10;-21;-29;-8;-29
2018-01-23 23:20;-27;-31;-4;-31
2018-01-23 23:30;-31;-32;-2;-33
2018-01-23 23:40;-34;-29;-1;-35
2018-01-23 23:50;-36;-30;0;-36
2018-01-24 00:00;-37;-27;11;-26
2018-01-24 00:10;-38;-24;13;-25
2018-01-24 00:20;-37;-23;13;-24
2018-01-24 00:30;-37;-23;11;-26
2018-01-24 00:40;-37;-25;9;-28
2018-01-24 00:50;-36;-26;6;-30
2018-01-24 01:00;-36;-27;2;-34
2018-01-24 01:10;-37;-30;-1;-38
2018-01-24 01:20;-37;-36;-6;-43
2018-01-24 01:30;-38;-40;-9;-47
2018-01-24 01:40;-39;-42;-12;-51
2018-01-24 01:50;-40;-48;-13;-53
2018-01-24 02:00;-40;-51;-15;-55
2018-01-24 02:10;-41;-53;-15;-56
2018-01-24 02:20;-41;-55;-15;-56
2018-01-24 02:30;-42;-53;-15;-57
2018-01-24 02:40;-42;-52;-14;-56
2018-01-24 02:50;-41;-52;-14;-55
2018-01-24 03:00;-41;-52;-12;-53
2018-01-24 03:10;-40;-51;-12;-52
2018-01-24 03:20;-38;-46;-12;-50
2018-01-24 03:30;-36;-45;-11;-47
2018-01-24 03:40;-33;-42;-11;-44
2018-01-24 03:50;-29;-41;-11;-40
2018-01-24 04:00;-25;-36;-9;-34
2018-01-24 04:10;-21;-30;-7;-28
2018-01-24 04:20;-17;-24;-5;-22
2018-01-24 04:30;-12;-18;-2;-14
2018-01-24 04:40;-6;-11;0;-6
2018-01-24 04:50;-1;-1;3;2
2018-01-24 05:00;6;9;5;11
2018-01-24 05:10;13;20;7;20
2018-01-24 05:20;21;30;11;32
2018-01-24 05:30;30;41;15;45
2018-01-24 05:40;39;54;20;59
2018-01-24 05:50;50;67;23;73
2018-01-24 06:00;60;79;29;89
2018-01-24 06:10;71;91;29;100
2018-01-24 06:20;80;102;29;109
2018-01-24 06:30;89;111;27;116
2018-01-24 06:40;96;117;23;119
2018-01-24 06:50;102;120;18;120
2018-01-24 07:00;105;120;14;119
2018-01-24 07:10;107;119;11;118
2018-01-24 07:20;107;114;8;115
2018-01-24 07:30;106;108;6;112
2018-01-24 07:40;103;103;6;109
2018-01-24 07:50;100;96;8;108
2018-01-24 08:00;96;92;8;104
2018-01-24 08:10;92;86;9;101
